year,region,tp_Apr
1977,Mogilev,60.427
1977,Vitebsk,81.768
1978,Brest,61.754
1978,Gomel,43.119
1978,Grodno,71.316
1978,Minsk,65.479
1978,Mogilev,46.552
1978,Vitebsk,66.034
1979,Brest,52.345
1979,Gomel,55.499
1979,Grodno,39.564
1979,Minsk,38.544
1979,Mogilev,34.543
1979,Vitebsk,30.190
1980,Brest,62.963
1980,Gomel,60.770
1980,Grodno,59.383
1980,Minsk,55.940
1980,Mogilev,56.316
1980,Vitebsk,39.353
1981,Brest,27.569
1981,Gomel,38.259
1981,Grodno,30.876
1981,Minsk,27.286
1981,Mogilev,38.194
1981,Vitebsk,31.055
1982,Brest,55.200
1982,Gomel,76.700
1982,Grodno,54.222
1982,Minsk,61.226
1982,Mogilev,69.477
1982,Vitebsk,62.046
1983,Brest,64.827
1983,Gomel,88.518
1983,Grodno,59.137
1983,Minsk,70.606
1983,Mogilev,80.337
1983,Vitebsk,76.978
1984,Brest,23.744
1984,Gomel,20.609
1984,Grodno,30.674
1984,Minsk,23.949
1984,Mogilev,21.988
1984,Vitebsk,28.733
1985,Brest,71.346
1985,Gomel,63.019
1985,Grodno,78.740
1985,Minsk,67.693
1985,Mogilev,48.198
1985,Vitebsk,58.686
1986,Brest,52.730
1986,Gomel,38.118
1986,Grodno,71.182
1986,Minsk,49.156
1986,Mogilev,46.312
1986,Vitebsk,72.711
1987,Brest,38.375
1987,Gomel,33.257
1987,Grodno,33.622
1987,Minsk,34.952
1987,Mogilev,41.982
1987,Vitebsk,22.112
1988,Brest,38.024
1988,Gomel,48.461
1988,Grodno,34.651
1988,Minsk,33.657
1988,Mogilev,42.407
1988,Vitebsk,33.315
1989,Brest,64.321
1989,Gomel,51.717
1989,Grodno,83.930
1989,Minsk,69.319
1989,Mogilev,59.110
1989,Vitebsk,69.294
1990,Brest,46.928
1990,Gomel,70.060
1990,Grodno,30.001
1990,Minsk,36.256
1990,Mogilev,51.265
1990,Vitebsk,22.407
1991,Brest,39.215
1991,Gomel,52.045
1991,Grodno,37.308
1991,Minsk,40.222
1991,Mogilev,47.767
1991,Vitebsk,45.440
1992,Brest,66.965
1992,Gomel,38.495
1992,Grodno,88.213
