year,region,tp_winter
1983,Brest,124.421
1983,Gomel,120.923
1983,Grodno,136.326
1983,Minsk,143.991
1983,Mogilev,140.199
1983,Vitebsk,173.865
1984,Brest,105.284
1984,Gomel,119.405
1984,Grodno,103.854
1984,Minsk,109.945
1984,Mogilev,130.743
1984,Vitebsk,125.827
1985,Brest,173.289
1985,Gomel,131.959
1985,Grodno,178.789
1985,Minsk,153.657
1985,Mogilev,144.331
1985,Vitebsk,163.783
1986,Brest,104.450
1986,Gomel,127.197
1986,Grodno,118.439
1986,Minsk,118.280
1986,Mogilev,137.622
1986,Vitebsk,150.745
1987,Brest,142.828
1987,Gomel,107.628
1987,Grodno,148.751
1987,Minsk,131.162
1987,Mogilev,121.335
1987,Vitebsk,141.751
1988,Brest,123.278
1988,Gomel,136.439
1988,Grodno,141.928
1988,Minsk,139.713
1988,Mogilev,144.646
1988,Vitebsk,166.386
1989,Brest,127.962
1989,Gomel,141.182
1989,Grodno,164.940
1989,Minsk,163.663
1989,Mogilev,182.741
1989,Vitebsk,192.465
1990,Brest,114.580
1990,Gomel,117.898
1990,Grodno,127.128
1990,Minsk,122.893
1990,Mogilev,127.619
1990,Vitebsk,135.978
1991,Brest,107.716
1991,Gomel,104.363
1991,Grodno,128.509
1991,Minsk,121.103
1991,Mogilev,123.988
1991,Vitebsk,145.792
1992,Brest,117.796
1992,Gomel,113.405
1992,Grodno,146.576
1992,Minsk,125.749
1992,Mogilev,122.891
1992,Vitebsk,159.059
1993,Brest,161.667
1993,Gomel,147.289
1993,Grodno,186.042
1993,Minsk,178.062
1993,Mogilev,169.876
1993,Vitebsk,187.881
1994,Brest,162.759
1994,Gomel,154.087
1994,Grodno,171.549
1994,Minsk,154.969
1994,Mogilev,158.396
1994,Vitebsk,170.211
1995,Brest,110.439
1995,Gomel,90.989
1995,Grodno,127.623
1995,Minsk,122.607
1995,Mogilev,96.762
1995,Vitebsk,115.463
1996,Brest,85.288
1996,Gomel,95.420
1996,Grodno,107.756
1996,Minsk,112.113
1996,Mogilev,106.580
1996,Vitebsk,130.669
1997,Brest,136.600
1997,Gomel,134.281
1997,Grodno,158.417
1997,Minsk,151.497
1997,Mogilev,138.653
1997,Vitebsk,167.740
1998,Brest,135.374
1998,Gomel,136.013
1998,Grodno,155.707
1998,Minsk,147.470
1998,Mogilev,148.652
1998,Vitebsk,169.127
1999,Brest,148.268
1999,Gomel,137.917
1999,Grodno,162.423
1999,Minsk,155.163
1999,Mogilev,154.371
1999,Vitebsk,161.259
2000,Brest,129.298
2000,Gomel,164.564
2000,Grodno,130.022
2000,Minsk,145.083
2000,Mogilev,168.283
2000,Vitebsk,156.058
2001,Brest,152.394
2001,Gomel,137.336
2001,Grodno,175.044
2001,Minsk,154.790
2001,Mogilev,153.788
2001,Vitebsk,174.388
2002,Brest,105.893
2002,Gomel,80.835
2002,Grodno,104.233
2002,Minsk,93.749
2002,Mogilev,91.877
2002,Vitebsk,98.761
2003,Brest,164.865
2003,Gomel,181.835
2003,Grodno,194.226
2003,Minsk,197.169
2003,Mogilev,203.394
2003,Vitebsk,202.479
2004,Brest,128.207
2004,Gomel,136.808
2004,Grodno,142.086
2004,Minsk,129.439
2004,Mogilev,140.430
2004,Vitebsk,149.667
2005,Brest,139.998
2005,Gomel,114.220
2005,Grodno,131.582
2005,Minsk,95.437
2005,Mogilev,98.905
2005,Vitebsk,81.922
2006,Brest,163.824
2006,Gomel,142.688
2006,Grodno,176.993
2006,Minsk,153.431
2006,Mogilev,154.712
2006,Vitebsk,157.739
2007,Brest,113.010
2007,Gomel,113.585
2007,Grodno,133.733
2007,Minsk,121.891
2007,Mogilev,128.629
2007,Vitebsk,119.166
2008,Brest,101.515
2008,Gomel,130.403
2008,Grodno,122.410
2008,Minsk,132.230
2008,Mogilev,152.359
2008,Vitebsk,154.475
2009,Brest,149.235
2009,Gomel,164.479
2009,Grodno,144.327
2009,Minsk,152.851
2009,Mogilev,171.239
2009,Vitebsk,166.608
2010,Brest,133.461
2010,Gomel,149.463
2010,Grodno,136.818
2010,Minsk,138.969
2010,Mogilev,163.092
2010,Vitebsk,171.777
2011,Brest,130.393
2011,Gomel,158.393
2011,Grodno,152.428
2011,Minsk,150.103
2011,Mogilev,176.179
2011,Vitebsk,171.898
2012,Brest,170.227
2012,Gomel,181.389
2012,Grodno,157.360
2012,Minsk,151.706
2012,Mogilev,150.908
2012,Vitebsk,136.390
2013,Brest,104.077
2013,Gomel,114.088
2013,Grodno,125.903
2013,Minsk,114.507
2013,Mogilev,131.502
2013,Vitebsk,125.154
2014,Brest,129.470
2014,Gomel,129.112
2014,Grodno,137.155
2014,Minsk,137.928
2014,Mogilev,145.104
2014,Vitebsk,161.460
2015,Brest,178.558
2015,Gomel,173.586
2015,Grodno,172.166
2015,Minsk,167.055
2015,Mogilev,162.142
2015,Vitebsk,153.985
2016,Brest,145.850
2016,Gomel,142.990
2016,Grodno,141.337
2016,Minsk,139.178
2016,Mogilev,131.417
2016,Vitebsk,142.760
2017,Brest,143.795
2017,Gomel,188.015
2017,Grodno,134.254
2017,Minsk,156.513
2017,Mogilev,190.193
2017,Vitebsk,162.587
2018,Brest,159.573
2018,Gomel,133.237
2018,Grodno,176.945
2018,Minsk,147.006
2018,Mogilev,135.969
2018,Vitebsk,146.378
2019,Brest,135.507
2019,Gomel,132.206
2019,Grodno,148.600
2019,Minsk,153.664
2019,Mogilev,148.788
2019,Vitebsk,172.731
2020,Brest,163.664
2020,Gomel,179.594
2020,Grodno,156.434
2020,Minsk,175.360
2020,Mogilev,186.422
2020,Vitebsk,147.978
2021,Brest,162.560
2021,Gomel,177.431
2021,Grodno,175.072
2021,Minsk,172.884
2021,Mogilev,171.962
2021,Vitebsk,170.509
