experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Gomel,1901,2.777,11.843,6.867,4.862
Historical,Gomel,1902,3.180,11.472,6.226,5.165
Historical,Gomel,1903,2.772,12.520,6.661,3.372
Historical,Gomel,1904,3.068,13.738,6.088,3.404
Historical,Gomel,1905,2.513,12.053,6.041,3.334
Historical,Gomel,1906,1.895,14.541,6.258,4.151
Historical,Gomel,1907,3.278,12.065,6.795,4.716
Historical,Gomel,1908,2.261,13.486,4.916,3.204
Historical,Gomel,1909,3.166,13.881,7.159,5.085
Historical,Gomel,1910,2.850,13.579,7.125,5.769
Historical,Gomel,1911,3.106,14.442,6.390,5.530
Historical,Gomel,1912,3.525,11.337,6.747,4.793
Historical,Gomel,1913,2.428,12.989,5.734,5.627
Historical,Gomel,1914,1.707,11.778,5.556,3.760
Historical,Gomel,1915,2.855,11.641,6.169,5.409
Historical,Gomel,1916,2.512,14.749,7.349,4.314
Historical,Gomel,1917,3.525,14.280,6.379,4.727
Historical,Gomel,1918,1.715,14.697,7.378,4.809
Historical,Gomel,1919,4.172,12.744,7.775,6.303
Historical,Gomel,1920,2.881,12.261,5.777,3.185
Historical,Gomel,1921,4.088,15.519,7.182,5.261
Historical,Gomel,1922,3.171,16.470,7.359,4.889
Historical,Gomel,1923,3.521,11.449,5.446,4.043
Historical,Gomel,1924,3.474,15.364,7.243,4.867
Historical,Gomel,1925,3.047,16.226,7.093,4.334
Historical,Gomel,1926,3.272,14.290,7.298,5.914
Historical,Gomel,1927,3.582,12.740,7.016,3.847
Historical,Gomel,1928,1.783,17.633,6.592,5.411
Historical,Gomel,1929,3.260,15.230,5.491,4.356
Historical,Gomel,1930,3.942,13.855,7.717,4.447
Historical,Gomel,1931,2.596,15.595,7.002,6.744
Historical,Gomel,1932,3.412,13.611,6.960,4.000
Historical,Gomel,1933,3.957,13.076,6.359,5.211
Historical,Gomel,1934,3.678,10.157,6.649,4.778
Historical,Gomel,1935,2.417,12.059,6.046,3.997
Historical,Gomel,1936,2.739,15.375,7.618,5.397
Historical,Gomel,1937,2.670,13.778,6.102,2.974
Historical,Gomel,1938,3.383,15.878,6.052,5.049
Historical,Gomel,1939,2.681,14.443,6.704,5.248
Historical,Gomel,1940,1.931,13.096,8.354,3.499
Historical,Gomel,1941,3.297,12.416,6.493,4.380
Historical,Gomel,1942,2.833,11.627,5.848,3.700
Historical,Gomel,1943,3.207,10.895,5.933,3.929
Historical,Gomel,1944,2.932,12.694,5.726,3.918
Historical,Gomel,1945,2.756,12.947,6.621,3.370
Historical,Gomel,1946,3.500,14.148,6.444,5.681
Historical,Gomel,1947,2.198,11.863,5.244,3.183
Historical,Gomel,1948,3.201,17.674,7.271,5.011
Historical,Gomel,1949,2.682,12.159,6.047,5.189
Historical,Gomel,1950,2.573,15.850,7.074,5.558
Historical,Gomel,1951,3.048,14.409,5.688,6.362
Historical,Gomel,1952,1.762,12.096,6.638,3.938
Historical,Gomel,1953,1.597,11.254,6.244,2.808
Historical,Gomel,1954,1.428,13.169,5.619,4.231
Historical,Gomel,1955,1.926,14.310,5.773,4.005
Historical,Gomel,1956,3.767,12.505,6.013,2.579
Historical,Gomel,1957,2.745,14.083,6.122,4.028
Historical,Gomel,1958,2.856,14.294,6.857,4.631
Historical,Gomel,1959,3.399,12.643,6.014,3.253
Historical,Gomel,1960,2.668,14.396,6.057,4.929
Historical,Gomel,1961,2.342,14.468,7.168,6.971
Historical,Gomel,1962,3.436,13.272,6.110,5.533
Historical,Gomel,1963,2.650,15.688,6.350,6.615
Historical,Gomel,1964,2.579,11.305,5.874,3.270
Historical,Gomel,1965,3.391,12.875,6.133,3.357
Historical,Gomel,1966,3.090,12.792,6.685,4.230
Historical,Gomel,1967,2.423,11.956,6.672,5.071
Historical,Gomel,1968,3.050,11.562,6.521,2.499
Historical,Gomel,1969,3.564,14.189,6.642,6.019
Historical,Gomel,1970,4.146,13.630,6.026,5.079
Historical,Gomel,1971,1.996,15.510,6.521,3.725
Historical,Gomel,1972,2.998,13.280,6.452,3.787
Historical,Gomel,1973,3.139,14.895,5.833,3.729
Historical,Gomel,1974,2.742,12.738,6.105,4.383
Historical,Gomel,1975,2.776,13.585,6.292,5.510
Historical,Gomel,1976,2.411,14.907,5.879,5.836
Historical,Gomel,1977,2.550,13.719,6.366,4.079
Historical,Gomel,1978,4.428,12.637,7.651,4.843
Historical,Gomel,1979,2.284,13.456,6.740,6.516
Historical,Gomel,1980,3.174,12.935,6.856,3.941
Historical,Gomel,1981,2.294,12.651,6.565,4.273
Historical,Gomel,1982,1.828,12.962,6.854,6.190
Historical,Gomel,1983,3.269,11.650,6.367,4.501
Historical,Gomel,1984,4.670,12.009,6.527,4.249
