year,region,e_annual
1977,Mogilev,492.994
1977,Vitebsk,481.421
1978,Brest,506.575
1978,Gomel,537.943
1978,Grodno,496.750
1978,Minsk,502.516
1978,Mogilev,502.902
1978,Vitebsk,482.194
1979,Brest,516.146
1979,Gomel,508.803
1979,Grodno,474.698
1979,Minsk,478.408
1979,Mogilev,475.983
1979,Vitebsk,486.281
1980,Brest,489.703
1980,Gomel,522.424
1980,Grodno,453.372
1980,Minsk,462.821
1980,Mogilev,481.372
1980,Vitebsk,449.522
1981,Brest,536.156
1981,Gomel,544.481
1981,Grodno,495.756
1981,Minsk,509.170
1981,Mogilev,511.338
1981,Vitebsk,505.881
1982,Brest,526.175
1982,Gomel,543.265
1982,Grodno,490.308
1982,Minsk,510.323
1982,Mogilev,516.394
1982,Vitebsk,493.475
1983,Brest,566.907
1983,Gomel,540.790
1983,Grodno,531.019
1983,Minsk,494.251
1983,Mogilev,532.191
1983,Vitebsk,512.009
1984,Brest,525.004
1984,Gomel,524.946
1984,Grodno,500.146
1984,Minsk,487.622
1984,Mogilev,500.620
1984,Vitebsk,488.006
1985,Brest,558.159
1985,Gomel,550.004
1985,Grodno,519.435
1985,Minsk,511.355
1985,Mogilev,510.926
1985,Vitebsk,486.172
1986,Brest,540.423
1986,Gomel,524.843
1986,Grodno,510.678
1986,Minsk,496.432
1986,Mogilev,513.032
1986,Vitebsk,496.849
1987,Brest,515.525
1987,Gomel,514.482
1987,Grodno,498.937
1987,Minsk,477.538
1987,Mogilev,480.846
1987,Vitebsk,459.447
1988,Brest,547.563
1988,Gomel,538.706
1988,Grodno,507.601
1988,Minsk,500.690
1988,Mogilev,517.177
1988,Vitebsk,489.626
1989,Brest,572.261
1989,Gomel,580.942
1989,Grodno,558.133
1989,Minsk,537.035
1989,Mogilev,556.351
1989,Vitebsk,528.395
1990,Brest,565.932
1990,Gomel,595.332
1990,Grodno,532.160
1990,Minsk,519.017
1990,Mogilev,547.589
1990,Vitebsk,507.021
1991,Brest,538.048
1991,Gomel,553.891
1991,Grodno,508.277
1991,Minsk,517.810
1991,Mogilev,538.755
1991,Vitebsk,505.273
1992,Brest,555.716
1992,Gomel,535.965
1992,Grodno,499.852
1992,Minsk,485.874
1992,Mogilev,495.094
1992,Vitebsk,490.800
1993,Brest,554.404
1993,Gomel,542.468
1993,Grodno,520.803
1993,Minsk,512.115
1993,Mogilev,513.599
1993,Vitebsk,488.170
1994,Brest,557.977
1994,Gomel,556.494
1994,Grodno,526.385
1994,Minsk,522.069
1994,Mogilev,530.257
1994,Vitebsk,510.887
1995,Brest,556.314
1995,Gomel,540.325
1995,Grodno,531.148
1995,Minsk,514.079
1995,Mogilev,551.785
1995,Vitebsk,543.133
1996,Brest,519.785
1996,Gomel,507.421
1996,Grodno,517.358
1996,Minsk,500.735
1996,Mogilev,489.641
1996,Vitebsk,489.522
1997,Brest,557.810
1997,Gomel,556.771
1997,Grodno,557.995
1997,Minsk,550.203
1997,Mogilev,545.672
1997,Vitebsk,537.573
1998,Brest,570.732
1998,Gomel,584.252
1998,Grodno,554.589
1998,Minsk,551.991
1998,Mogilev,549.344
1998,Vitebsk,525.320
1999,Brest,567.333
1999,Gomel,560.481
1999,Grodno,528.359
1999,Minsk,487.616
1999,Mogilev,520.337
1999,Vitebsk,494.541
2000,Brest,561.436
2000,Gomel,546.284
2000,Grodno,546.777
2000,Minsk,521.609
2000,Mogilev,526.889
2000,Vitebsk,512.186
2001,Brest,531.509
2001,Gomel,591.206
2001,Grodno,529.868
2001,Minsk,551.614
2001,Mogilev,556.041
2001,Vitebsk,549.906
2002,Brest,571.791
2002,Gomel,542.895
2002,Grodno,523.705
2002,Minsk,533.260
2002,Mogilev,540.176
2002,Vitebsk,518.448
2003,Brest,543.367
2003,Gomel,511.483
2003,Grodno,515.780
2003,Minsk,519.631
2003,Mogilev,492.959
2003,Vitebsk,510.352
2004,Brest,568.343
2004,Gomel,559.236
2004,Grodno,539.107
2004,Minsk,540.792
2004,Mogilev,528.983
2004,Vitebsk,483.274
2005,Brest,520.396
2005,Gomel,525.119
2005,Grodno,529.023
2005,Minsk,523.474
2005,Mogilev,546.532
2005,Vitebsk,519.568
2006,Brest,494.305
2006,Gomel,562.749
2006,Grodno,531.477
2006,Minsk,502.149
2006,Mogilev,510.254
2006,Vitebsk,493.795
2007,Brest,588.195
2007,Gomel,610.418
2007,Grodno,573.474
2007,Minsk,547.388
2007,Mogilev,582.610
2007,Vitebsk,544.175
2008,Brest,593.538
2008,Gomel,604.069
2008,Grodno,571.844
2008,Minsk,564.384
2008,Mogilev,575.749
2008,Vitebsk,555.153
2009,Brest,576.829
2009,Gomel,564.314
2009,Grodno,538.928
2009,Minsk,561.261
2009,Mogilev,571.275
2009,Vitebsk,529.670
2010,Brest,585.338
2010,Gomel,595.278
2010,Grodno,579.328
2010,Minsk,578.808
2010,Mogilev,600.978
2010,Vitebsk,556.251
2011,Brest,574.206
2011,Gomel,575.750
2011,Grodno,563.398
2011,Minsk,554.148
2011,Mogilev,570.494
2011,Vitebsk,538.360
2012,Brest,554.572
2012,Gomel,605.825
2012,Grodno,545.776
2012,Minsk,565.427
2012,Mogilev,583.966
2012,Vitebsk,539.463
2013,Brest,569.473
2013,Gomel,568.197
2013,Grodno,545.497
2013,Minsk,551.150
2013,Mogilev,540.211
2013,Vitebsk,533.620
2014,Brest,590.713
2014,Gomel,600.958
2014,Grodno,573.255
2014,Minsk,571.998
2014,Mogilev,570.016
2014,Vitebsk,559.615
2015,Brest,517.848
2015,Gomel,504.344
2015,Grodno,540.558
2015,Minsk,518.494
2015,Mogilev,495.772
2015,Vitebsk,517.307
