experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,2002,6.046,16.895,10.782,10.029
Historical,Brest,2003,5.404,17.219,11.068,10.850
Historical,Brest,2004,4.578,19.485,8.422,9.665
Historical,Brest,2005,3.768,18.618,10.706,9.150
Historical,Brest,2006,3.737,20.911,9.786,10.035
Historical,Brest,2007,5.972,19.123,10.639,6.728
Historical,Brest,2008,5.207,18.237,11.550,10.475
Historical,Brest,2009,4.224,19.290,9.499,7.286
Historical,Brest,2010,6.781,19.090,11.613,8.871
Historical,Brest,2011,5.180,19.058,10.127,8.791
Historical,Brest,2012,6.310,20.432,10.727,9.792
Historical,Brest,2013,4.059,20.971,11.539,11.338
Historical,Brest,2014,4.614,20.128,10.846,10.760
Historical,Gomel,1900,5.382,16.775,9.167,7.380
Historical,Gomel,1901,3.387,16.065,7.438,6.863
Historical,Gomel,1902,3.281,15.021,9.446,6.520
Historical,Gomel,1903,3.740,13.031,7.382,4.376
Historical,Gomel,1904,4.326,14.722,8.721,6.004
Historical,Gomel,1905,3.696,14.840,8.098,7.589
Historical,Gomel,1906,3.558,17.113,7.622,5.398
Historical,Gomel,1907,3.785,13.127,6.883,4.932
Historical,Gomel,1908,2.669,14.558,8.874,5.685
Historical,Gomel,1909,3.915,12.079,7.939,4.869
Historical,Gomel,1910,4.334,14.178,8.046,5.560
Historical,Gomel,1911,4.000,13.144,8.472,5.148
Historical,Gomel,1912,4.307,15.442,8.719,5.196
Historical,Gomel,1913,3.120,15.543,7.550,6.561
Historical,Gomel,1914,3.137,14.325,8.825,6.386
Historical,Gomel,1915,3.584,15.923,6.302,7.278
Historical,Gomel,1916,3.838,16.242,8.737,4.978
Historical,Gomel,1917,3.918,18.557,8.022,8.022
Historical,Gomel,1918,4.078,13.864,7.393,5.023
Historical,Gomel,1919,4.573,13.733,7.603,7.816
Historical,Gomel,1920,4.120,16.200,8.386,5.514
Historical,Gomel,1921,3.431,16.674,7.620,6.118
Historical,Gomel,1922,3.860,15.294,8.441,6.010
Historical,Gomel,1923,5.139,14.094,7.996,5.911
Historical,Gomel,1924,4.464,14.892,8.673,6.568
Historical,Gomel,1925,3.816,18.089,8.522,6.876
Historical,Gomel,1926,4.443,14.288,8.298,6.003
Historical,Gomel,1927,4.727,15.229,9.126,6.827
Historical,Gomel,1928,4.086,17.599,9.191,5.603
Historical,Gomel,1929,3.412,18.140,8.202,4.897
Historical,Gomel,1930,3.621,14.719,8.439,5.330
Historical,Gomel,1931,2.384,15.644,6.602,3.457
Historical,Gomel,1932,3.957,17.177,9.260,5.171
Historical,Gomel,1933,4.577,12.082,7.940,4.968
Historical,Gomel,1934,3.955,15.318,7.426,5.787
Historical,Gomel,1935,3.764,13.807,7.569,5.364
Historical,Gomel,1936,3.964,16.365,7.861,6.612
Historical,Gomel,1937,2.877,19.990,6.981,7.981
Historical,Gomel,1938,3.271,17.017,8.408,6.919
Historical,Gomel,1939,4.109,15.961,8.305,6.764
Historical,Gomel,1940,3.217,17.779,7.976,6.255
Historical,Gomel,1941,4.248,19.088,7.752,7.178
Historical,Gomel,1942,2.648,13.633,8.330,5.315
Historical,Gomel,1943,3.619,15.469,6.643,5.295
Historical,Gomel,1944,3.804,17.565,8.864,7.087
Historical,Gomel,1945,3.955,14.282,7.822,5.817
Historical,Gomel,1946,4.185,17.370,8.442,6.250
Historical,Gomel,1947,4.265,12.253,6.665,4.878
Historical,Gomel,1948,4.425,16.400,6.750,6.735
Historical,Gomel,1949,3.318,18.067,7.469,7.866
Historical,Gomel,1950,4.166,16.517,7.590,6.215
Historical,Gomel,1951,3.827,12.118,6.936,4.464
Historical,Gomel,1952,3.829,17.885,7.742,8.848
Historical,Gomel,1953,3.592,14.312,7.387,6.508
Historical,Gomel,1954,3.416,15.137,7.215,5.643
Historical,Gomel,1955,2.932,13.127,7.162,5.079
Historical,Gomel,1956,4.018,16.243,9.130,6.710
Historical,Gomel,1957,3.495,16.507,6.521,6.948
Historical,Gomel,1958,4.488,13.935,7.488,6.414
Historical,Gomel,1959,3.715,16.081,7.025,5.836
Historical,Gomel,1960,4.194,12.825,7.765,5.503
Historical,Gomel,1961,3.746,15.929,8.764,6.467
Historical,Gomel,1962,3.957,13.456,7.673,5.755
Historical,Gomel,1963,3.773,16.033,7.734,6.256
Historical,Gomel,1964,3.943,18.978,7.504,6.432
Historical,Gomel,1965,3.584,13.945,7.631,4.654
Historical,Gomel,1966,3.945,13.437,8.202,5.301
Historical,Gomel,1967,3.175,16.050,7.023,5.215
Historical,Gomel,1968,3.585,16.141,7.190,5.906
Historical,Gomel,1969,3.213,13.304,7.040,4.686
Historical,Gomel,1970,2.579,12.638,8.115,3.677
Historical,Gomel,1971,4.168,16.984,7.821,5.983
Historical,Gomel,1972,3.129,14.752,8.272,4.861
Historical,Gomel,1973,3.307,14.559,7.582,5.439
Historical,Gomel,1974,5.504,16.914,9.294,6.909
Historical,Gomel,1975,2.800,14.784,8.514,7.958
Historical,Gomel,1976,4.296,14.960,7.108,6.498
Historical,Gomel,1977,3.313,11.136,6.735,4.757
Historical,Gomel,1978,3.488,15.217,8.298,6.412
Historical,Gomel,1979,4.235,12.787,7.692,4.710
Historical,Gomel,1980,3.180,16.311,7.783,5.958
Historical,Gomel,1981,2.917,21.421,9.130,6.797
Historical,Gomel,1982,3.605,13.734,7.508,7.671
Historical,Gomel,1983,2.757,16.872,7.438,4.990
Historical,Gomel,1984,3.607,14.004,7.248,4.766
Historical,Gomel,1985,3.136,15.513,9.011,7.108
Historical,Gomel,1986,3.969,16.572,8.171,5.166
Historical,Gomel,1987,3.103,13.980,7.897,5.384
Historical,Gomel,1988,2.719,19.002,8.272,6.132
Historical,Gomel,1989,3.085,15.588,7.753,4.739
Historical,Gomel,1990,5.069,19.619,9.750,8.320
Historical,Gomel,1991,3.706,13.394,7.675,6.505
Historical,Gomel,1992,4.164,16.855,7.798,7.051
Historical,Gomel,1993,4.078,13.975,8.251,7.774
Historical,Gomel,1994,5.121,17.057,7.498,7.789
Historical,Gomel,1995,3.625,18.162,7.726,7.633
Historical,Gomel,1996,4.286,17.572,8.106,6.690
