experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,2002,8.072,18.632,13.138,10.242
Historical,Brest,2003,9.661,19.967,14.715,12.744
Historical,Brest,2004,7.135,19.606,13.018,11.513
Historical,Brest,2005,8.421,19.818,12.190,11.450
Historical,Brest,2006,7.586,19.429,13.563,11.298
Historical,Brest,2007,10.238,19.736,14.635,13.908
Historical,Brest,2008,7.100,20.772,13.008,10.797
Historical,Brest,2009,7.329,24.493,13.981,11.462
Historical,Brest,2010,7.945,20.423,13.051,12.963
Historical,Brest,2011,7.468,19.305,13.932,11.644
Historical,Brest,2012,7.672,18.480,14.053,12.637
Historical,Brest,2013,8.147,17.947,12.991,10.671
Historical,Brest,2014,8.632,21.717,12.850,10.680
Historical,Gomel,1900,6.265,19.343,10.065,8.967
Historical,Gomel,1901,8.514,18.786,11.033,10.373
Historical,Gomel,1902,6.788,17.749,10.522,9.088
Historical,Gomel,1903,7.812,19.105,11.472,8.666
Historical,Gomel,1904,7.257,17.790,12.297,9.505
Historical,Gomel,1905,7.909,18.111,11.473,8.988
Historical,Gomel,1906,6.144,16.953,10.812,8.393
Historical,Gomel,1907,5.834,19.737,12.370,9.634
Historical,Gomel,1908,7.089,16.426,11.321,9.241
Historical,Gomel,1909,6.794,18.186,11.298,8.414
Historical,Gomel,1910,8.475,18.987,11.788,9.521
Historical,Gomel,1911,6.243,18.776,12.736,9.214
Historical,Gomel,1912,6.713,17.622,11.505,8.070
Historical,Gomel,1913,7.736,20.041,13.415,11.454
Historical,Gomel,1914,6.198,19.950,11.423,10.228
Historical,Gomel,1915,6.702,18.053,11.198,9.350
Historical,Gomel,1916,7.121,19.444,12.685,9.805
Historical,Gomel,1917,6.585,19.439,12.394,9.851
Historical,Gomel,1918,8.142,17.353,12.320,9.645
Historical,Gomel,1919,8.092,17.014,12.493,12.247
Historical,Gomel,1920,7.694,18.377,11.429,9.197
Historical,Gomel,1921,8.484,20.480,13.713,11.246
Historical,Gomel,1922,7.272,18.538,12.019,9.805
Historical,Gomel,1923,7.680,17.497,12.466,11.088
Historical,Gomel,1924,7.174,17.182,11.580,9.897
Historical,Gomel,1925,6.924,20.881,13.290,10.787
Historical,Gomel,1926,7.688,17.556,12.049,10.281
Historical,Gomel,1927,7.338,17.437,11.787,9.261
Historical,Gomel,1928,7.062,22.260,12.251,11.683
Historical,Gomel,1929,5.314,18.112,11.781,8.657
Historical,Gomel,1930,6.998,19.414,12.897,11.670
Historical,Gomel,1931,7.520,21.112,12.177,10.558
Historical,Gomel,1932,5.943,17.090,12.349,9.732
Historical,Gomel,1933,7.270,16.892,11.562,9.438
Historical,Gomel,1934,8.515,17.256,12.134,9.759
Historical,Gomel,1935,8.379,20.051,13.110,10.867
Historical,Gomel,1936,6.948,17.107,11.913,10.205
Historical,Gomel,1937,8.728,15.962,10.757,10.164
Historical,Gomel,1938,5.207,19.867,10.990,10.233
Historical,Gomel,1939,7.016,19.957,12.853,10.811
Historical,Gomel,1940,7.376,17.083,11.714,8.762
Historical,Gomel,1941,7.927,17.254,12.355,9.174
Historical,Gomel,1942,6.476,20.801,11.290,8.600
Historical,Gomel,1943,7.178,20.156,12.935,11.324
Historical,Gomel,1944,7.217,16.039,12.134,9.481
Historical,Gomel,1945,5.214,16.641,11.389,9.677
Historical,Gomel,1946,8.034,20.949,12.751,9.810
Historical,Gomel,1947,7.106,15.255,11.685,7.600
Historical,Gomel,1948,7.731,19.755,10.780,8.998
Historical,Gomel,1949,6.367,20.579,11.587,9.637
Historical,Gomel,1950,7.377,19.204,12.149,9.940
Historical,Gomel,1951,5.869,17.435,12.209,10.310
Historical,Gomel,1952,7.583,17.523,12.491,10.206
Historical,Gomel,1953,6.833,19.935,12.515,11.087
Historical,Gomel,1954,6.879,22.360,11.557,9.265
Historical,Gomel,1955,8.772,18.558,11.366,9.256
Historical,Gomel,1956,6.088,17.090,10.894,8.122
