year,region,e_Aug
1977,Mogilev,70.418
1977,Vitebsk,67.066
1978,Brest,67.647
1978,Gomel,77.887
1978,Grodno,72.035
1978,Minsk,72.141
1978,Mogilev,74.204
1978,Vitebsk,73.065
1979,Brest,87.194
1979,Gomel,80.962
1979,Grodno,81.328
1979,Minsk,83.396
1979,Mogilev,78.726
1979,Vitebsk,79.587
1980,Brest,77.581
1980,Gomel,77.511
1980,Grodno,73.541
1980,Minsk,72.909
1980,Mogilev,72.436
1980,Vitebsk,68.404
1981,Brest,73.736
1981,Gomel,70.628
1981,Grodno,66.900
1981,Minsk,69.532
1981,Mogilev,65.596
1981,Vitebsk,68.155
1982,Brest,71.828
1982,Gomel,88.516
1982,Grodno,64.781
1982,Minsk,82.530
1982,Mogilev,85.784
1982,Vitebsk,79.978
1983,Brest,81.680
1983,Gomel,72.000
1983,Grodno,73.330
1983,Minsk,65.405
1983,Mogilev,74.583
1983,Vitebsk,76.051
1984,Brest,72.973
1984,Gomel,70.908
1984,Grodno,73.365
1984,Minsk,66.377
1984,Mogilev,72.194
1984,Vitebsk,71.612
1985,Brest,91.153
1985,Gomel,88.475
1985,Grodno,88.519
1985,Minsk,84.590
1985,Mogilev,83.090
1985,Vitebsk,82.495
1986,Brest,80.744
1986,Gomel,84.491
1986,Grodno,73.628
1986,Minsk,73.486
1986,Mogilev,77.134
1986,Vitebsk,76.835
1987,Brest,75.594
1987,Gomel,75.676
1987,Grodno,75.950
1987,Minsk,71.816
1987,Mogilev,71.576
1987,Vitebsk,72.775
1988,Brest,86.497
1988,Gomel,81.516
1988,Grodno,76.790
1988,Minsk,77.420
1988,Mogilev,80.879
1988,Vitebsk,76.498
1989,Brest,77.829
1989,Gomel,85.232
1989,Grodno,77.835
1989,Minsk,76.686
1989,Mogilev,79.254
1989,Vitebsk,77.082
1990,Brest,83.866
1990,Gomel,90.825
1990,Grodno,79.428
1990,Minsk,81.723
1990,Mogilev,85.702
1990,Vitebsk,76.274
1991,Brest,81.376
1991,Gomel,83.248
1991,Grodno,74.057
1991,Minsk,78.047
1991,Mogilev,87.391
1991,Vitebsk,80.386
1992,Brest,76.143
1992,Gomel,75.978
1992,Grodno,66.109
1992,Minsk,67.147
1992,Mogilev,75.341
1992,Vitebsk,71.377
1993,Brest,85.009
1993,Gomel,88.919
1993,Grodno,81.564
1993,Minsk,80.579
1993,Mogilev,81.713
1993,Vitebsk,76.387
1994,Brest,78.747
1994,Gomel,79.298
1994,Grodno,75.203
1994,Minsk,74.373
1994,Mogilev,76.006
1994,Vitebsk,73.615
1995,Brest,64.269
1995,Gomel,69.908
1995,Grodno,63.035
1995,Minsk,66.137
1995,Mogilev,79.488
1995,Vitebsk,75.780
1996,Brest,82.399
1996,Gomel,83.646
1996,Grodno,86.689
1996,Minsk,79.403
1996,Mogilev,72.880
1996,Vitebsk,78.629
1997,Brest,82.616
1997,Gomel,76.894
1997,Grodno,85.471
1997,Minsk,83.640
1997,Mogilev,80.346
1997,Vitebsk,82.719
1998,Brest,83.034
1998,Gomel,86.663
1998,Grodno,81.496
1998,Minsk,82.784
1998,Mogilev,82.992
1998,Vitebsk,79.419
1999,Brest,70.090
1999,Gomel,78.649
1999,Grodno,69.339
1999,Minsk,64.747
1999,Mogilev,74.193
1999,Vitebsk,66.979
2000,Brest,84.346
2000,Gomel,88.176
2000,Grodno,81.006
2000,Minsk,81.606
2000,Mogilev,85.963
2000,Vitebsk,79.529
2001,Brest,76.476
2001,Gomel,81.444
2001,Grodno,78.231
2001,Minsk,75.636
2001,Mogilev,72.416
2001,Vitebsk,77.784
2002,Brest,75.546
2002,Gomel,80.569
2002,Grodno,67.810
2002,Minsk,73.946
2002,Mogilev,79.556
2002,Vitebsk,69.899
2003,Brest,80.774
2003,Gomel,82.121
2003,Grodno,72.180
2003,Minsk,80.738
2003,Mogilev,73.054
2003,Vitebsk,75.057
2004,Brest,87.858
2004,Gomel,93.797
2004,Grodno,85.714
2004,Minsk,90.043
2004,Mogilev,86.626
2004,Vitebsk,77.024
2005,Brest,82.023
2005,Gomel,83.648
2005,Grodno,82.654
2005,Minsk,86.751
2005,Mogilev,93.253
2005,Vitebsk,83.232
2006,Brest,78.529
2006,Gomel,84.558
2006,Grodno,74.400
2006,Minsk,75.176
2006,Mogilev,79.527
2006,Vitebsk,72.381
2007,Brest,89.013
2007,Gomel,98.096
2007,Grodno,88.985
2007,Minsk,83.716
2007,Mogilev,90.401
2007,Vitebsk,86.421
2008,Brest,86.986
2008,Gomel,88.787
2008,Grodno,82.316
2008,Minsk,85.702
2008,Mogilev,88.049
2008,Vitebsk,86.146
2009,Brest,86.991
2009,Gomel,84.837
2009,Grodno,79.314
2009,Minsk,90.120
2009,Mogilev,91.111
2009,Vitebsk,81.962
2010,Brest,85.215
2010,Gomel,92.116
2010,Grodno,90.390
2010,Minsk,89.325
2010,Mogilev,92.708
2010,Vitebsk,86.251
2011,Brest,94.977
2011,Gomel,89.208
2011,Grodno,91.647
2011,Minsk,89.262
2011,Mogilev,89.285
2011,Vitebsk,81.290
2012,Brest,75.150
2012,Gomel,81.728
2012,Grodno,72.049
2012,Minsk,76.018
2012,Mogilev,84.289
2012,Vitebsk,73.906
2013,Brest,78.226
2013,Gomel,70.011
2013,Grodno,82.442
2013,Minsk,80.749
2013,Mogilev,71.897
2013,Vitebsk,79.483
2014,Brest,80.064
2014,Gomel,85.120
2014,Grodno,79.953
2014,Minsk,83.023
2014,Mogilev,81.711
2014,Vitebsk,83.978
2015,Brest,62.299
2015,Gomel,72.950
2015,Grodno,70.901
2015,Minsk,67.290
2015,Mogilev,68.302
2015,Vitebsk,74.706
2016,Brest,82.348
2016,Gomel,80.507
2016,Grodno,91.189
2016,Minsk,84.287
2016,Mogilev,87.029
2016,Vitebsk,87.779
2017,Brest,85.772
2017,Gomel,88.726
2017,Grodno,86.489
2017,Minsk,92.225
2017,Mogilev,91.515
2017,Vitebsk,89.675
2018,Brest,87.246
2018,Gomel,98.051
2018,Grodno,84.498
2018,Minsk,88.035
2018,Mogilev,98.619
2018,Vitebsk,85.464
2019,Brest,84.729
2019,Gomel,78.123
2019,Grodno,75.820
2019,Minsk,82.964
2019,Mogilev,86.055
2019,Vitebsk,78.625
2020,Brest,73.566
2020,Gomel,74.771
2020,Grodno,57.011
2020,Minsk,77.235
2020,Mogilev,86.536
2020,Vitebsk,77.460
2021,Brest,78.897
2021,Gomel,76.408
2021,Grodno,77.308
2021,Minsk,74.473
2021,Mogilev,77.152
2021,Vitebsk,73.740
2022,Brest,75.308
2022,Gomel,82.674
2022,Grodno,88.702
2022,Minsk,93.199
2022,Mogilev,95.422
2022,Vitebsk,92.477
