year,region,e_cold
1977,Mogilev,32.189
1977,Vitebsk,38.946
1978,Brest,31.224
1978,Gomel,29.961
1978,Grodno,29.420
1978,Minsk,25.764
1978,Mogilev,26.180
1978,Vitebsk,33.582
1979,Brest,38.791
1979,Gomel,35.205
1979,Grodno,33.994
1979,Minsk,27.002
1979,Mogilev,26.782
1979,Vitebsk,32.808
1980,Brest,58.135
1980,Gomel,47.397
1980,Grodno,48.871
1980,Minsk,39.394
1980,Mogilev,35.700
1980,Vitebsk,37.683
1981,Brest,57.598
1981,Gomel,50.798
1981,Grodno,44.467
1981,Minsk,33.725
1981,Mogilev,35.315
1981,Vitebsk,35.213
1982,Brest,65.965
1982,Gomel,56.038
1982,Grodno,58.393
1982,Minsk,46.393
1982,Mogilev,45.489
1982,Vitebsk,45.796
1983,Brest,50.575
1983,Gomel,43.884
1983,Grodno,48.003
1983,Minsk,39.222
1983,Mogilev,39.888
1983,Vitebsk,46.185
1984,Brest,36.083
1984,Gomel,30.984
1984,Grodno,29.498
1984,Minsk,23.029
1984,Mogilev,22.325
1984,Vitebsk,27.165
1985,Brest,45.987
1985,Gomel,35.803
1985,Grodno,40.146
1985,Minsk,30.397
1985,Mogilev,23.492
1985,Vitebsk,30.443
1986,Brest,35.351
1986,Gomel,26.881
1986,Grodno,30.749
1986,Minsk,22.537
1986,Mogilev,21.963
1986,Vitebsk,28.075
1987,Brest,45.975
1987,Gomel,37.824
1987,Grodno,36.366
1987,Minsk,32.449
1987,Mogilev,28.853
1987,Vitebsk,27.540
1988,Brest,71.953
1988,Gomel,61.854
1988,Grodno,64.666
1988,Minsk,51.581
1988,Mogilev,48.669
1988,Vitebsk,51.887
1989,Brest,85.474
1989,Gomel,79.205
1989,Grodno,75.755
1989,Minsk,67.853
1989,Mogilev,63.359
1989,Vitebsk,64.528
1990,Brest,52.694
1990,Gomel,47.288
1990,Grodno,47.909
1990,Minsk,42.508
1990,Mogilev,39.409
1990,Vitebsk,43.196
1991,Brest,64.769
1991,Gomel,58.394
1991,Grodno,59.379
1991,Minsk,51.586
1991,Mogilev,51.501
