experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,509.316,872.369,699.482,659.122
Historical,Brest,1901,516.052,831.558,631.993,683.219
Historical,Brest,1902,484.904,920.117,721.463,756.083
Historical,Brest,1903,515.894,776.376,670.995,702.072
Historical,Brest,1904,482.655,908.080,673.055,677.079
Historical,Brest,1905,534.703,797.481,697.273,734.995
Historical,Brest,1906,476.573,821.611,661.080,665.555
Historical,Brest,1907,520.219,822.174,625.594,699.842
Historical,Brest,1908,515.119,806.781,632.148,701.976
Historical,Brest,1909,486.907,861.489,628.164,729.306
Historical,Brest,1910,473.745,800.041,624.631,660.063
Historical,Brest,1911,487.369,856.678,648.332,680.576
Historical,Brest,1912,517.553,850.134,665.812,669.891
Historical,Brest,1913,482.244,829.030,662.344,712.702
Historical,Brest,1914,530.764,794.333,648.890,741.266
Historical,Brest,1915,474.088,814.660,657.701,640.797
Historical,Brest,1916,501.032,820.222,686.758,699.089
Historical,Brest,1917,547.102,779.747,666.792,739.392
Historical,Brest,1918,520.281,845.661,674.395,661.835
Historical,Brest,1919,502.083,850.557,672.963,699.482
Historical,Brest,1920,525.565,933.115,639.862,715.041
Historical,Brest,1921,538.100,897.804,646.586,700.565
Historical,Brest,1922,502.350,865.502,707.844,688.722
Historical,Brest,1923,531.035,800.716,675.026,724.439
Historical,Brest,1924,447.950,843.330,598.042,632.375
Historical,Brest,1925,527.031,830.199,623.608,688.675
Historical,Brest,1926,479.977,813.048,657.214,705.562
Historical,Brest,1927,539.072,866.464,650.707,691.759
Historical,Brest,1928,463.713,830.881,686.438,714.779
Historical,Brest,1929,502.047,798.252,635.221,659.245
Historical,Brest,1930,546.260,761.128,647.882,725.932
Historical,Brest,1931,525.350,782.800,651.756,699.551
Historical,Brest,1932,498.647,836.506,718.432,697.902
Historical,Brest,1933,481.147,805.407,665.233,702.432
Historical,Brest,1934,516.353,879.522,661.417,706.363
Historical,Brest,1935,524.820,841.510,645.545,695.839
Historical,Brest,1936,532.254,818.281,631.365,717.053
Historical,Brest,1937,498.834,786.413,667.027,715.332
Historical,Brest,1938,502.776,783.673,611.184,714.510
Historical,Brest,1939,486.999,895.008,653.052,666.329
Historical,Brest,1940,485.111,780.807,656.920,696.210
Historical,Brest,1941,483.016,844.494,672.918,667.672
Historical,Brest,1942,543.340,870.845,659.614,680.485
Historical,Brest,1943,484.451,813.639,591.300,635.117
Historical,Brest,1944,460.278,781.357,692.030,687.103
Historical,Brest,1945,500.301,816.268,673.056,673.227
Historical,Brest,1946,554.502,817.607,687.708,705.529
Historical,Brest,1947,531.656,814.176,646.353,731.318
Historical,Brest,1948,456.296,912.036,672.167,665.522
Historical,Brest,1949,498.611,858.720,650.600,702.013
Historical,Brest,1950,495.270,810.863,668.172,730.057
Historical,Brest,1951,485.399,800.435,636.839,675.120
Historical,Brest,1952,538.524,786.790,645.579,726.179
Historical,Brest,1953,459.357,852.563,668.873,650.715
Historical,Brest,1954,492.966,903.341,638.685,674.201
Historical,Brest,1955,477.429,793.357,638.044,678.004
Historical,Brest,1956,455.046,779.451,618.000,656.525
Historical,Brest,1957,513.785,782.184,627.765,646.640
Historical,Brest,1958,508.892,833.491,623.424,703.465
Historical,Brest,1959,491.186,822.440,682.983,680.216
Historical,Brest,1960,508.573,860.045,679.427,687.513
Historical,Brest,1961,508.636,809.283,680.681,682.597
Historical,Brest,1962,482.706,800.652,654.230,686.072
Historical,Brest,1963,447.132,801.781,643.050,676.589
Historical,Brest,1964,483.262,829.865,671.528,689.874
Historical,Brest,1965,454.777,786.799,617.089,645.922
Historical,Brest,1966,475.214,813.655,647.855,663.205
Historical,Brest,1967,487.431,808.096,681.128,696.559
Historical,Brest,1968,522.289,787.609,629.607,683.530
Historical,Brest,1969,492.612,799.386,675.738,663.893
Historical,Brest,1970,549.292,818.663,666.441,729.278
Historical,Brest,1971,486.314,823.574,638.810,723.097
Historical,Brest,1972,456.330,831.513,654.451,689.585
Historical,Brest,1973,512.738,819.092,666.998,722.602
Historical,Brest,1974,492.290,776.366,631.987,719.638
Historical,Brest,1975,483.881,789.779,635.454,706.121
Historical,Brest,1976,540.594,808.984,641.991,678.503
Historical,Brest,1977,496.126,781.428,659.906,699.177
Historical,Brest,1978,515.758,764.730,691.148,699.423
Historical,Brest,1979,505.011,828.341,633.650,667.294
Historical,Brest,1980,553.502,783.003,641.835,729.985
Historical,Brest,1981,510.536,802.183,638.841,701.524
Historical,Brest,1982,511.457,818.427,646.516,655.352
Historical,Brest,1983,476.337,809.085,626.819,697.114
Historical,Brest,1984,489.297,834.121,626.916,657.427
Historical,Brest,1985,464.130,779.334,633.647,716.067
Historical,Brest,1986,520.778,823.145,660.801,678.785
Historical,Brest,1987,547.611,832.585,698.770,716.614
Historical,Brest,1988,514.007,846.498,630.868,705.549
Historical,Brest,1989,534.029,787.479,633.759,732.412
Historical,Brest,1990,516.185,878.448,645.665,756.022
Historical,Brest,1991,515.557,825.471,624.514,739.217
Historical,Brest,1992,484.481,822.778,684.015,685.106
Historical,Brest,1993,544.527,775.458,673.001,741.249
Historical,Brest,1994,500.987,772.427,655.094,688.862
Historical,Brest,1995,509.450,816.724,671.246,694.429
Historical,Brest,1996,552.085,826.880,661.407,712.921
Historical,Brest,1997,498.549,768.626,656.990,704.471
Historical,Brest,1998,538.486,794.002,669.802,770.607
Historical,Brest,1999,504.210,849.791,669.106,694.635
Historical,Brest,2000,495.540,888.373,636.959,705.512
Historical,Brest,2001,504.657,865.408,697.272,700.836
Historical,Brest,2002,546.869,817.027,651.553,706.078
Historical,Brest,2003,511.764,842.015,672.361,690.994
Historical,Brest,2004,527.148,843.408,663.655,731.795
Historical,Brest,2005,537.788,789.234,650.096,720.045
Historical,Brest,2006,488.356,829.798,659.354,689.310
Historical,Brest,2007,540.192,791.479,665.963,711.771
Historical,Brest,2008,469.868,820.574,666.333,727.930
Historical,Brest,2009,510.109,841.359,660.137,689.797
Historical,Brest,2010,507.098,829.026,629.835,689.723
Historical,Brest,2011,489.719,845.749,582.168,718.994
Historical,Brest,2012,522.577,899.269,639.312,737.336
Historical,Brest,2013,550.212,850.477,670.728,723.728
Historical,Brest,2014,519.823,900.110,662.740,665.852
Historical,Gomel,1900,469.067,852.358,651.070,679.633
Historical,Gomel,1901,436.584,850.032,656.229,688.606
Historical,Gomel,1902,478.275,866.692,668.815,715.167
Historical,Gomel,1903,478.666,760.417,629.258,674.729
Historical,Gomel,1904,456.323,888.302,671.248,694.070
Historical,Gomel,1905,517.424,804.018,645.742,693.899
Historical,Gomel,1906,449.245,832.776,658.562,686.243
Historical,Gomel,1907,505.172,848.365,614.813,664.797
Historical,Gomel,1908,448.775,806.570,631.602,657.168
Historical,Gomel,1909,461.878,825.785,592.189,620.727
Historical,Gomel,1910,475.973,786.030,620.307,635.505
Historical,Gomel,1911,500.034,892.854,657.268,718.456
Historical,Gomel,1912,484.809,844.101,625.540,675.778
