experiment,model,year,region,tas
SSP1-2.6,access_cm2,2029,Brest,-0.64672148210094
SSP1-2.6,access_cm2,2029,Gomel,-1.8489840096998402
SSP1-2.6,access_cm2,2029,Grodno,-1.5189380089620783
SSP1-2.6,access_cm2,2029,Minsk,-2.5103882802566444
SSP1-2.6,access_cm2,2029,Mogilev,-3.1541051292368714
SSP1-2.6,access_cm2,2029,Vitebsk,-3.8657266883631567
SSP1-2.6,access_cm2,2030,Brest,-0.6313524803127605
SSP1-2.6,access_cm2,2030,Gomel,-2.031435640235188
SSP1-2.6,access_cm2,2030,Grodno,-1.2605762028341203
SSP1-2.6,access_cm2,2030,Minsk,-2.3106022000530797
SSP1-2.6,access_cm2,2030,Mogilev,-3.233879112241562
SSP1-2.6,access_cm2,2030,Vitebsk,-3.469314144909663
SSP1-2.6,access_cm2,2031,Brest,-0.974527121840064
SSP1-2.6,access_cm2,2031,Gomel,-1.7740202268050225
SSP1-2.6,access_cm2,2031,Grodno,-1.3495556091484606
SSP1-2.6,access_cm2,2031,Minsk,-2.2072019300816526
SSP1-2.6,access_cm2,2031,Mogilev,-2.9532814437938524
SSP1-2.6,access_cm2,2031,Vitebsk,-3.1891861358669997
SSP1-2.6,access_cm2,2032,Brest,0.15581859784633226
SSP1-2.6,access_cm2,2032,Gomel,-1.0531887101786679
SSP1-2.6,access_cm2,2032,Grodno,-0.6672461124014051
SSP1-2.6,access_cm2,2032,Minsk,-1.5605741172912335
SSP1-2.6,access_cm2,2032,Mogilev,-2.2540607771809724
SSP1-2.6,access_cm2,2032,Vitebsk,-2.862212164672492
SSP1-2.6,access_cm2,2033,Brest,-1.5475426752259562
SSP1-2.6,access_cm2,2033,Gomel,-2.5640435559639347
SSP1-2.6,access_cm2,2033,Grodno,-2.0890488420268407
SSP1-2.6,access_cm2,2033,Minsk,-2.9087839618272175
SSP1-2.6,access_cm2,2033,Mogilev,-3.76784379441846
SSP1-2.6,access_cm2,2033,Vitebsk,-4.029257109621334
SSP1-2.6,access_cm2,2034,Brest,0.18996145015735125
SSP1-2.6,access_cm2,2034,Gomel,-0.7952125358569129
SSP1-2.6,access_cm2,2034,Grodno,-0.19716500098527018
SSP1-2.6,access_cm2,2034,Minsk,-0.9464886186469831
SSP1-2.6,access_cm2,2034,Mogilev,-1.7275057298254002
SSP1-2.6,access_cm2,2034,Vitebsk,-1.8534191161961133
SSP1-2.6,access_cm2,2035,Brest,1.1980970608780641
SSP1-2.6,access_cm2,2035,Gomel,0.23541451511528275
SSP1-2.6,access_cm2,2035,Grodno,0.6847547690066027
SSP1-2.6,access_cm2,2035,Minsk,-0.1315192368873011
SSP1-2.6,access_cm2,2035,Mogilev,-0.8367712985894471
SSP1-2.6,access_cm2,2035,Vitebsk,-1.543961766468179
SSP1-2.6,access_cm2,2036,Brest,-0.9603827715541962
SSP1-2.6,access_cm2,2036,Gomel,-1.8913639061424798
SSP1-2.6,access_cm2,2036,Grodno,-1.370872163377205
SSP1-2.6,access_cm2,2036,Minsk,-2.20270787338213
SSP1-2.6,access_cm2,2036,Mogilev,-2.9285313839017415
SSP1-2.6,access_cm2,2036,Vitebsk,-3.012713886192306
SSP1-2.6,access_cm2,2037,Brest,-0.47577477182819927
SSP1-2.6,access_cm2,2037,Gomel,-1.0837467279177613
SSP1-2.6,access_cm2,2037,Grodno,-0.8140810545446727
SSP1-2.6,access_cm2,2037,Minsk,-1.4018297850035937
SSP1-2.6,access_cm2,2037,Mogilev,-2.050163724908268
SSP1-2.6,access_cm2,2037,Vitebsk,-2.5609579785744696
SSP1-2.6,access_cm2,2038,Brest,0.3398434152434348
SSP1-2.6,access_cm2,2038,Gomel,-1.3860477452984887
SSP1-2.6,access_cm2,2038,Grodno,-0.40117384604536294
SSP1-2.6,access_cm2,2038,Minsk,-1.5742154299526907
SSP1-2.6,access_cm2,2038,Mogilev,-2.775896011707905
SSP1-2.6,access_cm2,2038,Vitebsk,-3.2235777556483574
SSP1-2.6,access_cm2,2039,Brest,-4.1534933442975674
SSP1-2.6,access_cm2,2039,Gomel,-5.144486422928531
SSP1-2.6,access_cm2,2039,Grodno,-5.032333924837474
SSP1-2.6,access_cm2,2039,Minsk,-5.698748311702648
SSP1-2.6,access_cm2,2039,Mogilev,-6.280046478583631
SSP1-2.6,access_cm2,2039,Vitebsk,-6.849988238935838
SSP1-2.6,access_cm2,2040,Brest,0.9399317084811115
SSP1-2.6,access_cm2,2040,Gomel,-0.10245682686765063
SSP1-2.6,access_cm2,2040,Grodno,0.6304083364875795
SSP1-2.6,access_cm2,2040,Minsk,-0.13021867392265365
SSP1-2.6,access_cm2,2040,Mogilev,-0.9170162393273694
SSP1-2.6,access_cm2,2040,Vitebsk,-0.9876968163994505
SSP1-2.6,access_cm2,2041,Brest,2.257206197957996
SSP1-2.6,access_cm2,2041,Gomel,1.3566294999583586
SSP1-2.6,access_cm2,2041,Grodno,1.7222577076539913
SSP1-2.6,access_cm2,2041,Minsk,1.1051630935985386
SSP1-2.6,access_cm2,2041,Mogilev,0.4438281006843181
SSP1-2.6,access_cm2,2041,Vitebsk,0.10274569661763307
SSP1-2.6,access_cm2,2042,Brest,-0.145481203553671
SSP1-2.6,access_cm2,2042,Gomel,-1.213414444962324
SSP1-2.6,access_cm2,2042,Grodno,-0.5004554055772469
SSP1-2.6,access_cm2,2042,Minsk,-1.3094625777961597
SSP1-2.6,access_cm2,2042,Mogilev,-2.1655256725470933
SSP1-2.6,access_cm2,2042,Vitebsk,-2.300604917167878
SSP1-2.6,access_cm2,2043,Brest,-2.1050670175755863
SSP1-2.6,access_cm2,2043,Gomel,-2.9889178727127383
SSP1-2.6,access_cm2,2043,Grodno,-2.7395826105172323
SSP1-2.6,access_cm2,2043,Minsk,-3.5509349366675234
SSP1-2.6,access_cm2,2043,Mogilev,-4.134005521737976
SSP1-2.6,access_cm2,2043,Vitebsk,-4.84245797073329
SSP1-2.6,access_cm2,2044,Brest,0.4593435770165145
SSP1-2.6,access_cm2,2044,Gomel,-0.6096371976150317
SSP1-2.6,access_cm2,2044,Grodno,-0.07091604164901807
SSP1-2.6,access_cm2,2044,Minsk,-0.7907406810493968
SSP1-2.6,access_cm2,2044,Mogilev,-1.6276525716676251
SSP1-2.6,access_cm2,2044,Vitebsk,-1.8560281591884071
SSP1-2.6,access_cm2,2045,Brest,0.4705581444460409
SSP1-2.6,access_cm2,2045,Gomel,-0.25934559950994635
SSP1-2.6,access_cm2,2045,Grodno,-0.13607345553836483
SSP1-2.6,access_cm2,2045,Minsk,-0.7600346973807766
SSP1-2.6,access_cm2,2045,Mogilev,-1.3291377303590348
SSP1-2.6,access_cm2,2045,Vitebsk,-1.7929346912600208
SSP1-2.6,access_cm2,2046,Brest,2.592554037842628
SSP1-2.6,access_cm2,2046,Gomel,1.7055273917525056
SSP1-2.6,access_cm2,2046,Grodno,2.1787546515072114
SSP1-2.6,access_cm2,2046,Minsk,1.4279143194070314
SSP1-2.6,access_cm2,2046,Mogilev,0.7694072422310538
SSP1-2.6,access_cm2,2046,Vitebsk,0.3163427133242712
SSP1-2.6,access_cm2,2047,Brest,3.312657419695942
SSP1-2.6,access_cm2,2047,Gomel,2.8353570771546055
SSP1-2.6,access_cm2,2047,Grodno,2.775232916597977
SSP1-2.6,access_cm2,2047,Minsk,2.2780892646269058
SSP1-2.6,access_cm2,2047,Mogilev,1.8511472455504567
SSP1-2.6,access_cm2,2047,Vitebsk,1.2826212746550878
SSP1-2.6,access_cm2,2048,Brest,0.009045071427536697
SSP1-2.6,access_cm2,2048,Gomel,-1.3093823847243975
SSP1-2.6,access_cm2,2048,Grodno,-0.8482510586345973
SSP1-2.6,access_cm2,2048,Minsk,-1.850806215318432
SSP1-2.6,access_cm2,2048,Mogilev,-2.5025939040762193
