experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,36.139,85.387,55.129,41.727
Historical,Brest,1901,37.419,82.701,55.937,35.027
Historical,Brest,1902,31.946,86.590,62.666,54.010
Historical,Brest,1903,36.364,86.524,60.883,38.356
Historical,Brest,1904,37.643,83.309,58.444,49.994
Historical,Brest,1905,45.078,73.066,55.434,42.618
Historical,Brest,1906,36.793,77.335,55.397,35.542
Historical,Brest,1907,32.791,82.511,55.623,47.315
Historical,Brest,1908,27.804,68.478,51.025,39.997
Historical,Brest,1909,31.092,79.985,58.202,32.554
Historical,Brest,1910,30.202,80.461,52.691,32.330
Historical,Brest,1911,36.685,78.450,62.150,44.940
Historical,Brest,1912,31.355,84.738,59.951,41.278
Historical,Brest,1913,32.307,78.390,55.598,35.049
Historical,Brest,1914,27.046,81.359,52.029,42.100
Historical,Brest,1915,28.373,82.628,54.202,28.558
Historical,Brest,1916,35.789,77.626,60.177,39.174
Historical,Brest,1917,46.411,90.414,63.562,47.017
Historical,Brest,1918,32.870,73.708,53.582,32.511
Historical,Brest,1919,36.157,84.519,55.449,41.076
Historical,Brest,1920,43.884,85.726,53.847,36.105
Historical,Brest,1921,42.054,86.525,61.111,56.847
Historical,Brest,1922,32.838,91.215,61.338,42.571
Historical,Brest,1923,29.565,84.868,57.557,42.745
Historical,Brest,1924,34.817,88.639,56.996,43.453
Historical,Brest,1925,39.744,82.388,61.714,47.507
Historical,Brest,1926,32.431,93.501,55.037,40.609
Historical,Brest,1927,25.253,83.048,48.175,39.002
Historical,Brest,1928,35.571,81.258,54.782,41.590
Historical,Brest,1929,32.841,85.606,54.457,43.603
Historical,Brest,1930,36.236,81.132,56.496,46.433
Historical,Brest,1931,41.612,77.332,61.360,39.407
Historical,Brest,1932,27.198,88.470,59.028,32.446
Historical,Brest,1933,36.189,82.926,52.582,40.951
Historical,Brest,1934,33.461,79.768,49.115,41.192
Historical,Brest,1935,29.831,76.572,52.646,39.540
Historical,Brest,1936,27.816,85.243,50.562,39.817
Historical,Brest,1937,39.104,86.917,59.494,48.047
Historical,Brest,1938,44.080,81.304,56.912,33.764
Historical,Brest,1939,37.955,83.529,57.760,38.954
Historical,Brest,1940,33.880,84.662,53.135,40.507
Historical,Brest,1941,41.178,82.139,59.782,44.041
Historical,Brest,1942,39.118,79.134,55.143,49.896
Historical,Brest,1943,30.234,79.032,44.427,33.553
Historical,Brest,1944,42.556,90.768,63.281,47.052
Historical,Brest,1945,36.264,77.169,51.639,36.534
Historical,Brest,1946,49.991,95.124,67.678,50.588
Historical,Brest,1947,35.382,87.292,60.873,42.673
Historical,Brest,1948,39.387,81.488,60.291,39.882
Historical,Brest,1949,35.813,75.546,57.118,36.140
Historical,Brest,1950,31.349,77.873,56.924,39.911
Historical,Brest,1951,29.124,89.734,57.174,49.281
Historical,Brest,1952,35.163,81.856,62.639,41.967
Historical,Brest,1953,29.026,75.765,61.921,42.084
Historical,Brest,1954,33.257,82.487,55.132,35.732
Historical,Brest,1955,32.237,76.898,53.017,40.837
Historical,Brest,1956,33.077,92.083,55.246,40.532
Historical,Brest,1957,27.725,80.013,59.872,36.036
Historical,Brest,1958,37.691,80.857,58.375,41.749
Historical,Brest,1959,31.219,81.906,55.304,39.992
Historical,Brest,1960,29.810,78.701,55.185,41.568
Historical,Brest,1961,30.744,92.968,47.946,42.423
Historical,Brest,1962,40.264,83.038,55.258,43.150
Historical,Brest,1963,33.533,73.958,49.925,34.531
Historical,Brest,1964,29.251,74.671,51.884,30.455
Historical,Brest,1965,37.316,85.051,58.065,48.801
Historical,Brest,1966,37.955,82.918,56.897,41.588
Historical,Brest,1967,41.230,85.213,57.568,47.608
Historical,Brest,1968,35.676,75.540,52.440,34.579
Historical,Brest,1969,33.538,81.866,50.572,44.820
Historical,Brest,1970,44.768,75.858,59.521,46.502
Historical,Brest,1971,38.295,76.325,49.035,34.343
Historical,Brest,1972,24.280,80.762,51.577,26.531
Historical,Brest,1973,35.472,87.828,59.328,40.738
Historical,Brest,1974,37.516,74.784,57.716,44.958
Historical,Brest,1975,38.785,80.030,61.080,46.359
Historical,Brest,1976,34.508,75.503,54.400,37.465
Historical,Brest,1977,35.916,91.937,60.646,44.355
Historical,Brest,1978,36.006,79.655,57.496,53.953
Historical,Brest,1979,36.264,79.505,54.047,47.277
Historical,Brest,1980,35.572,75.225,55.416,46.096
Historical,Brest,1981,32.913,86.278,54.560,45.603
Historical,Brest,1982,21.334,86.063,53.550,52.477
Historical,Brest,1983,39.984,84.180,53.383,40.846
Historical,Brest,1984,36.185,77.462,50.128,42.875
Historical,Brest,1985,35.492,81.414,56.334,39.798
Historical,Brest,1986,34.384,73.993,50.252,37.070
Historical,Brest,1987,35.990,79.409,52.718,42.223
Historical,Brest,1988,38.445,76.985,58.978,41.110
Historical,Brest,1989,30.450,82.845,56.250,41.420
Historical,Brest,1990,32.519,82.454,61.279,34.458
Historical,Brest,1991,36.102,81.392,60.013,37.108
Historical,Brest,1992,36.940,73.490,53.333,33.526
Historical,Brest,1993,39.060,85.475,59.185,50.221
Historical,Brest,1994,42.711,79.674,60.916,49.235
Historical,Brest,1995,36.340,88.262,57.996,36.837
Historical,Brest,1996,36.467,85.788,62.036,40.073
Historical,Brest,1997,39.381,77.946,58.065,43.711
Historical,Brest,1998,40.827,89.755,62.160,51.057
Historical,Brest,1999,33.968,75.503,56.657,42.116
Historical,Brest,2000,35.719,79.499,52.557,48.558
Historical,Brest,2001,28.363,86.581,62.398,37.915
Historical,Brest,2002,40.430,85.244,61.529,39.379
Historical,Brest,2003,26.442,80.690,54.241,36.645
Historical,Brest,2004,36.677,94.437,60.976,38.697
Historical,Brest,2005,26.426,80.347,60.163,53.477
Historical,Brest,2006,30.770,85.517,55.542,41.331
Historical,Brest,2007,31.968,91.658,56.636,43.262
Historical,Brest,2008,34.565,86.275,55.393,38.959
Historical,Brest,2009,36.739,83.170,61.726,40.567
Historical,Brest,2010,40.713,86.378,60.815,50.471
Historical,Brest,2011,38.973,84.683,60.669,47.606
Historical,Brest,2012,32.501,85.015,60.358,57.136
Historical,Brest,2013,27.772,87.118,49.454,34.589
Historical,Brest,2014,39.714,101.286,65.564,47.438
Historical,Gomel,1900,32.216,90.510,58.142,39.299
Historical,Gomel,1901,35.047,105.992,56.626,49.830
Historical,Gomel,1902,40.386,91.446,60.890,52.446
Historical,Gomel,1903,37.476,83.484,60.193,41.204
Historical,Gomel,1904,33.945,80.574,61.581,48.387
Historical,Gomel,1905,34.826,77.999,57.351,44.785
Historical,Gomel,1906,36.007,83.901,54.641,43.361
Historical,Gomel,1907,29.857,84.062,46.580,45.503
Historical,Gomel,1908,28.415,71.987,47.940,38.202
Historical,Gomel,1909,32.509,88.919,52.388,36.079
Historical,Gomel,1910,29.166,72.353,54.281,47.934
Historical,Gomel,1911,35.758,85.179,57.420,44.561
Historical,Gomel,1912,33.686,97.494,58.537,34.998
Historical,Gomel,1913,30.313,85.436,49.823,35.265
Historical,Gomel,1914,25.952,84.825,53.400,48.928
Historical,Gomel,1915,24.812,83.073,58.556,34.753
Historical,Gomel,1916,36.708,82.733,55.912,40.609
Historical,Gomel,1917,45.052,85.352,62.680,54.814
Historical,Gomel,1918,34.941,74.199,51.584,31.287
Historical,Gomel,1919,38.215,80.015,55.777,43.247
Historical,Gomel,1920,37.394,79.550,57.260,42.545
Historical,Gomel,1921,41.416,82.865,57.805,53.289
Historical,Gomel,1922,31.574,89.162,61.036,46.890
Historical,Gomel,1923,32.304,89.081,55.423,45.048
Historical,Gomel,1924,38.121,92.249,59.520,47.340
Historical,Gomel,1925,39.233,88.051,61.653,47.475
Historical,Gomel,1926,36.657,83.296,53.917,40.319
Historical,Gomel,1927,31.240,81.037,49.642,49.387
Historical,Gomel,1928,36.193,85.240,57.173,44.041
Historical,Gomel,1929,38.920,84.858,61.537,47.789
Historical,Gomel,1930,37.916,89.909,52.916,49.655
Historical,Gomel,1931,40.373,73.331,58.878,42.146
Historical,Gomel,1932,28.110,92.164,57.649,43.169
Historical,Gomel,1933,35.734,88.030,57.348,53.544
Historical,Gomel,1934,33.499,85.480,53.961,46.111
Historical,Gomel,1935,31.786,72.121,48.311,36.334
Historical,Gomel,1936,29.783,84.131,51.917,43.182
Historical,Gomel,1937,34.848,80.368,57.136,49.847
Historical,Gomel,1938,41.898,86.649,54.245,42.695
Historical,Gomel,1939,40.123,87.277,55.118,38.059
Historical,Gomel,1940,32.668,87.536,59.122,42.855
Historical,Gomel,1941,39.382,67.420,59.401,37.502
