year,region,e_fall
1977,Mogilev,79.712
1977,Vitebsk,84.126
1978,Brest,80.288
1978,Gomel,83.758
1978,Grodno,78.746
1978,Minsk,76.775
1978,Mogilev,76.046
1978,Vitebsk,74.594
1979,Brest,75.842
1979,Gomel,74.426
1979,Grodno,74.741
1979,Minsk,70.685
1979,Mogilev,69.599
1979,Vitebsk,74.375
1980,Brest,81.954
1980,Gomel,83.955
1980,Grodno,75.304
1980,Minsk,72.408
1980,Mogilev,73.085
1980,Vitebsk,70.269
1981,Brest,88.710
1981,Gomel,86.242
1981,Grodno,84.049
1981,Minsk,79.153
1981,Mogilev,75.106
1981,Vitebsk,76.653
1982,Brest,73.900
1982,Gomel,80.748
1982,Grodno,69.678
1982,Minsk,75.505
1982,Mogilev,74.094
1982,Vitebsk,75.065
1983,Brest,82.678
1983,Gomel,76.949
1983,Grodno,78.235
1983,Minsk,70.461
1983,Mogilev,77.472
1983,Vitebsk,81.407
1984,Brest,82.860
1984,Gomel,85.887
1984,Grodno,77.016
1984,Minsk,77.440
1984,Mogilev,79.004
1984,Vitebsk,77.311
1985,Brest,87.384
1985,Gomel,83.953
1985,Grodno,83.583
1985,Minsk,79.117
1985,Mogilev,76.843
1985,Vitebsk,79.691
1986,Brest,78.182
1986,Gomel,80.773
1986,Grodno,80.169
1986,Minsk,72.863
1986,Mogilev,74.902
1986,Vitebsk,75.464
1987,Brest,83.686
1987,Gomel,84.022
1987,Grodno,81.200
1987,Minsk,71.546
1987,Mogilev,73.609
1987,Vitebsk,71.433
1988,Brest,83.169
1988,Gomel,77.647
1988,Grodno,77.440
1988,Minsk,68.825
1988,Mogilev,71.834
1988,Vitebsk,74.221
1989,Brest,83.826
1989,Gomel,84.115
1989,Grodno,77.274
1989,Minsk,76.377
1989,Mogilev,76.863
1989,Vitebsk,75.079
1990,Brest,85.122
1990,Gomel,83.427
1990,Grodno,79.488
1990,Minsk,74.581
1990,Mogilev,74.329
1990,Vitebsk,72.866
1991,Brest,83.395
1991,Gomel,85.522
1991,Grodno,75.802
