year,region,tp_Sep
1992,Mogilev,50.380
1992,Vitebsk,87.833
1993,Brest,61.495
1993,Gomel,101.747
1993,Grodno,83.877
1993,Minsk,76.722
1993,Mogilev,106.978
1993,Vitebsk,93.494
1994,Brest,69.963
1994,Gomel,57.075
1994,Grodno,87.800
1994,Minsk,70.271
1994,Mogilev,65.771
1994,Vitebsk,83.593
1995,Brest,76.718
1995,Gomel,81.025
1995,Grodno,86.571
1995,Minsk,71.086
1995,Mogilev,103.732
1995,Vitebsk,105.194
1996,Brest,65.565
1996,Gomel,82.964
1996,Grodno,72.936
1996,Minsk,75.987
1996,Mogilev,91.016
1996,Vitebsk,105.272
1997,Brest,34.348
1997,Gomel,56.152
1997,Grodno,55.640
1997,Minsk,48.518
1997,Mogilev,62.173
1997,Vitebsk,75.173
1998,Brest,83.512
1998,Gomel,67.098
1998,Grodno,77.713
1998,Minsk,107.896
1998,Mogilev,79.602
1998,Vitebsk,99.543
1999,Brest,48.293
1999,Gomel,53.124
1999,Grodno,32.606
1999,Minsk,33.844
1999,Mogilev,33.205
1999,Vitebsk,24.206
2000,Brest,47.583
2000,Gomel,81.321
2000,Grodno,30.480
2000,Minsk,47.889
2000,Mogilev,49.411
2000,Vitebsk,26.020
2001,Brest,111.194
2001,Gomel,51.868
2001,Grodno,85.110
2001,Minsk,54.938
2001,Mogilev,38.106
2001,Vitebsk,48.790
2002,Brest,24.174
2002,Gomel,56.660
2002,Grodno,28.387
2002,Minsk,23.684
2002,Mogilev,27.741
2002,Vitebsk,24.288
2003,Brest,15.406
2003,Gomel,42.628
2003,Grodno,27.086
2003,Minsk,17.951
2003,Mogilev,43.966
2003,Vitebsk,26.659
2004,Brest,25.990
2004,Gomel,35.749
2004,Grodno,33.326
2004,Minsk,42.562
2004,Mogilev,31.442
2004,Vitebsk,53.857
2005,Brest,8.970
2005,Gomel,3.520
2005,Grodno,25.630
2005,Minsk,20.155
2005,Mogilev,8.592
2005,Vitebsk,27.438
2006,Brest,31.780
2006,Gomel,45.832
2006,Grodno,53.949
2006,Minsk,46.653
2006,Mogilev,38.868
2006,Vitebsk,63.695
2007,Brest,29.090
2007,Gomel,48.030
2007,Grodno,26.002
2007,Minsk,20.792
2007,Mogilev,33.505
2007,Vitebsk,23.804
2008,Brest,75.975
2008,Gomel,75.388
2008,Grodno,57.374
2008,Minsk,56.019
2008,Mogilev,43.486
2008,Vitebsk,47.565
2009,Brest,38.662
2009,Gomel,26.030
2009,Grodno,56.878
2009,Minsk,54.319
2009,Mogilev,34.515
2009,Vitebsk,70.103
2010,Brest,92.933
2010,Gomel,62.766
2010,Grodno,88.940
2010,Minsk,70.902
2010,Mogilev,67.485
2010,Vitebsk,85.053
